State,Simulated_Probability,Theoretical_Probability,Time_in_State
0,0.196358,0.2,19635.8
1,0.160538,0.16,16053.8
2,0.130051,0.128,13005.1
3,0.102123,0.1024,10212.3
4,0.0829928,0.08192,8299.28
5,0.0654733,0.065536,6547.33
6,0.0529767,0.0524288,5297.67
7,0.0426488,0.041943,4264.88
8,0.0326157,0.0335544,3261.57
9,0.0264223,0.0268435,2642.23
10,0.0204727,0.0214748,2047.27
11,0.017707,0.0171799,1770.7
12,0.0139291,0.0137439,1392.91
13,0.0107286,0.0109951,1072.86
14,0.00818476,0.00879609,818.476
15,0.00645672,0.00703687,645.672
16,0.00498071,0.0056295,498.071
17,0.00410926,0.0045036,410.926
18,0.00343626,0.00360288,343.626
19,0.00294721,0.0028823,294.721
20,0.00253512,0.00230584,253.512
21,0.00201871,0.00184467,201.871
22,0.0019643,0.00147574,196.43
23,0.00169714,0.00118059,169.714
24,0.00151297,0.000944473,151.297
25,0.00134773,0.000755579,134.773
26,0.00118324,0.000604463,118.324
27,0.000942672,0.00048357,94.2672
28,0.000795206,0.000386856,79.5206
29,0.000443302,0.000309485,44.3302
30,0.000298628,0.000247588,29.8628
31,9.69038e-05,0.00019807,9.69038
32,1.2357e-05,0.000158456,1.2357
33,0,0.000126765,0
34,0,0.000101412,0
35,0,8.11296e-05,0
36,0,6.49037e-05,0
37,0,5.1923e-05,0
38,0,4.15384e-05,0
39,0,3.32307e-05,0
40,0,2.65846e-05,0
41,0,2.12676e-05,0
42,0,1.70141e-05,0
43,0,1.36113e-05,0
44,0,1.0889e-05,0
45,0,8.71123e-06,0
46,0,6.96898e-06,0
47,0,5.57519e-06,0
48,0,4.46015e-06,0
49,0,3.56812e-06,0
50,0,2.8545e-06,0
